id,Subject,Type,Status,Assignee,Priority,Team,Work,Total work,Author,Category,Version,Bug Types,Project phase,Project,Parent,Description
270,        Test multiplayer với 4 clients,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
272,        Create game server health monitoring,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
273,        Implement player disconnect handling,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
274,        Setup logging và debugging tools,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
275,        Setup game server build configuration,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
276,        Implement vehicle replication (simulated clients),Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
277,        Configure client-side prediction cho owning client,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
278,        Disable collision cho simulated vehicles,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
279,        Implement debug visualization (boxes),Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
280,        Implement in-game multiplayer HUD,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
281,        Implement player list widget,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
282,        Create race position indicators	,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
283,        Implement end-race results screen,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
284,        Bind player list to game state,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
285,        Update position indicators real-time,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
286,        Implement results screen data,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
287,        Comprehensive integration testing,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
288,        Performance profiling,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
289,        Create deployment documentation,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
290,        Final code review và refactoring,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
291,        Deploy Nakama to staging environment,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
292,        Upload game server build to Edgegap,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
293,        Configure production settings,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
294,        Test monitoring dashboard,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
295,        Optimize code,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
296,        Polish animations và transitions,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
299,        End-to-end flow testing,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
300,        Handle edge cases và error scenarios,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
301,        Create integration test suite,Task,On hold,"",Normal,Dev,"","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
302,        Fix bugs from integration testing,Bug,New,"",Normal,"","","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
303,        Fix UI bugs và visual issues,Bug,New,"",Normal,"","","",Son  Nguyen ,"","","","",VNRacing,User story #222:     Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,""
305,Task test,Task,In progress,"",Normal,"","","",Son  Nguyen ,"","","","",VNRacing,"",""
312,BUG TEST,Bug,New,"",Normal,"","",108.0,Son  Nguyen ,"","",Audio Bugs,"",VNRacing,"",""
315,UI,Epic,In progress,"",Normal,"","",185.25,Giang Duong Vo Tra,"","","","",VNRacing,"",Các hạng mục của Dev về UI
331,Shop&IAP,Feature,In progress,"",Normal,"","",12.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
332,"     Tôi muốn có thêm nhiều thời gian chơi, không có gặp quảng cáo, và có khởi đầu tốt hơn các player khác",User story,In specification,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Feature #331: Shop&IAP,""
334,Tutorials,Feature,New,"",Normal,"","",239.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #343: Progression,""
335,    Tôi muốn tutorial cho tôi biết các thông tin cần thiết trong lần đua đầu tiên,User story,In progress,Phuoc Ho Duc,Normal,"","",239.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #334: Tutorials,""
336,    Tôi muốn có một số hướng dẫn phụ cho các tính năng phụ trong game bằng hình thức pop up thông tin ,User story,New,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Feature #334: Tutorials,""
338,    Tôi muốn có nhiều Race Mode chơi,Feature,In testing,"",Normal,"","",30.5,Giang Duong Vo Tra,"","","","",VNRacing,"",""
340,Car Customize,Feature,In specification,"",Normal,"","",1069.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
341,Visual Customize,User story,In specification,"",Normal,"","",504.5,Giang Duong Vo Tra,"","","","",VNRacing,Feature #340: Car Customize,"Là player, tôi muốn thay đổi ngoại hình của xe, có thể đổi từng bộ phận - đổi màu xe - thêm decal cho xe"
342,Performance Customize,User story,New,Phuoc Ho Duc,Normal,"",4.0,90.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #340: Car Customize,"  
  
**Là Player, tôi muốn độ phần Performance xe mà tôi yêu thích, sử dụng các tài nguyên thu thập được trong quá trình chơi để tăng tính sở hữu và cảm giác thành tựu khi chơi Game.**

*     
    Tiêu chí hoàn thành:&nbsp;  
    1- Có Design rõ ràng về chức năng nâng cấp Performance:
    
*   GD bổ sung chức năng nâng cấp Customize Performance.
    
*   GD bổ sung các điều kiện cần thiết để nâng cấp.
    
*   GD đảm bảo cảm giác nâng cấp có sự kích thích và tạo hứng thú cho người chơi.
    
*   GD bổ sung các tài liệu bổ sung cần thiết cho các bên để hoàn thành US.
    
    <br>
    

2 - UI/UX

*   Luồng vào chức năng thuận tiện dễ hiểu.
    
*   Các phím chức năng rõ ràng dễ thao tác, hiển thị đúng các yêu cầu cần thiết để nâng cấp xe.
    
*   Đặt cùng chỗ với chức năng Customize Visual để thuận tiện cho người chơi khi thao tác.
    
*   Không có lỗi UI/UX.
    
    <br>
    

3 - Chức năng của Customize Performance

*   Đảm bảo đúng các chức năng liệt kê của GD.
    
*   Chức năng không gây xung đột với các chức năng hiện có.
    
*   Chức năng hoạt động ổn định, không có lỗi.
    

4 - Performance

*   Chức năng không gây tụt Performance của Game."
343,Progression,Feature,New,Phuoc Ho Duc,Normal,"","",360.5,Giang Duong Vo Tra,"","","","",VNRacing,"",""
345,"    Trong quá trình phá đảo, tôi muốn sưu tập thêm nhiều xe mới",User story,New,"",Normal,"","",10.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #343: Progression,""
346,"    Trong quá trình phá đảo, tôi muốn xe tôi được nâng cấp thêm ",User story,New,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Feature #343: Progression,""
347,"(FanService) Là Player, tôi muốn có các nhiệm vụ ngẫu nhiên khi bắt đầu cuộc đua với các phần thưởng khi hoàn thành.",User story,New,"",Normal,"","",12.5,Giang Duong Vo Tra,"","","","",VNRacing,Feature #374: Game Mode,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng Fan Service:

*   Định nghĩa, phân loại các FS và phần thưởng.
    
*   Update Skill lên UI.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về phân loại và định nghĩa FS, phương pháp kích hoạt.
    
*   Quy định số lượng NOS tăng khi thực hiện các FS.
    
*   Thông tin hiển thị trên màn hình khi kích hoạt và hoàn thành FS.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
348,    Tôi muốn trải nghiệm 10 phút đầu chơi game hấp dẫn,User story,In specification,"",Normal,"","",2.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #343: Progression,""
374,Game Mode,Feature,New,Phuoc Ho Duc,Normal,"","",411.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
375,   Tôi muốn có nhiều Game Mode,User story,New,Phuoc Ho Duc,Normal,"","",9.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #374: Game Mode,""
376,Racer A.I,Feature,New,"",Normal,"","",97.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
377,"    Tôi muốn các AI phải có hành vi tự nhiên, có chiến đấu với người chơi",User story,In specification,Phuoc Ho Duc,Normal,"","",63.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #376: Racer A.I,""
378,    Tôi muốn độ khó của AI vừa phải và phù hợp,User story,In progress,Phuoc Ho Duc,Normal,"","",34.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #376: Racer A.I,""
379,Guideline cho UI về Performance,Task,Waiting For Approve,Phu Pham,Normal,Tech Art,4.0,"",Giang Duong Vo Tra,"","","","",VNRacing,Feature #173: Tech Art Documentation,""
380,Programming,Epic,New,"",Normal,"","",160.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
381,Game Designer Document ,Task,New,"",Normal,Game Design,"","",Giang Duong Vo Tra,"","","","",VNRacing,"",""
382,Levels/Track,Epic,New,"",Normal,"","",2888.0,Giang Duong Vo Tra,"","","","",VNRacing,"",""
383,Tôi muốn khám phá nhiều địa danh trong khi chơi,User story,In progress,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Epic #382: Levels/Track,""
386,Nakama - cấu trúc dữ liệu,Task,New,"",Normal,Dev,"",7.0,Giang Duong Vo Tra,"","","","",VNRacing,Epic #380: Programming,""
387,Rewards,Feature,In specification,"",Normal,"","",49.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #343: Progression,""
388,Ads Definitions,Feature,New,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,"",""
390,   Tôi muốn sau mỗi màn chơi được reward các item giúp tôi nâng cấp,Task,New,"",Normal,Game Design,"",21.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #387: Rewards,""
391,"    Tôi muốn có thêm giờ chơi từ việc xem quảng cáo, Có thể skip được thời điểm quảng cáo hợp lý ",Task,New,"",Normal,Game Design,"","",Giang Duong Vo Tra,"","","","",VNRacing,Feature #388: Ads Definitions,""
392,In-Game Mini Map,User story,In progress,Phuoc Ho Duc,Normal,"","",48.5,Giang Duong Vo Tra,"","","","",VNRacing,Feature #156: Drive Mode,"Là người chơi, tôi muốn có phần mini map trong lúc đua để có thể theo dõi chặng đua, Mini Map đẹp, dễ quan sát trên màn hình điện thoại"
393,Debug,Feature,New,"",Normal,"","",135.0,Giang Duong Vo Tra,"","","","",VNRacing,Epic #380: Programming,""
398,Game State,Feature,In specification,"",Normal,"","",140.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #156: Drive Mode,""
417,"Document US 197: Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm, nhưng tôi không muốn xe lật",Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,8.0,14.0,Giang Duong Vo Tra,"","","","",VNRacing,"User story #197:     Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",Update thêm tài liệu cho ME7
418,"Document US 18:     Tôi muốn các AI phải có hành vi tự nhiên, có chiến đấu với người chơi",Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,12.0,"",Giang Duong Vo Tra,"","","","",VNRacing,"User story #377:     Tôi muốn các AI phải có hành vi tự nhiên, có chiến đấu với người chơi",1.  Document cho &nbsp;ME30 và ME33
419,Document US19 : Tôi muốn độ khó của AI vừa phải và phù hợp ,Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,12.0,"",Giang Duong Vo Tra,"","","","",VNRacing,User story #378:     Tôi muốn độ khó của AI vừa phải và phù hợp,1.  Document cho ME31 và ME32
421,Document US342 :Tôi muốn độ phần performance xe,Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,4.0,"",Giang Duong Vo Tra,"","","","",VNRacing,User story #342: Performance Customize,Document cho ME18
422,Document US26: Tôi muốn sau mỗi màn chơi được reward các item giúp tôi nâng cấp,Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,16.0,"",Giang Duong Vo Tra,Game Design,"","","",VNRacing,Task #390:    Tôi muốn sau mỗi màn chơi được reward các item giúp tôi nâng cấp,"Document &nbsp;ME40, ME41, ME42. Đã làm Cash còn Items, cần hệ thống lại"
442,Testing & Polish - Unit tests and integration tests,Task,On hold,Dat Quang,High,Dev,8.0,"",Giang Duong Vo Tra,"","","","",VNRacing,"User story #197:     Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",""
450,Ai phần intro countdown map Sơn Trà Sprint đang bị âm xuống đất,Bug,Tested,Liem Tran,Normal,"",2.0,"",Giang Duong Vo Tra,"","","","",VNRacing,"User story #197:     Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",""
451,"FanService không hoạt động, khi đua xong out ra main menu bị ẩn phần thông tin người chơi ",Bug,Tested,Doi Huynh Van,Normal,"",4.0,"",Giang Duong Vo Tra,"","","","",VNRacing,"User story #347: (FanService) Là Player, tôi muốn có các nhiệm vụ ngẫu nhiên khi bắt đầu cuộc đua với các phần thưởng khi hoàn thành.",""
455,"GD_Document US 218-Tôi muốn trong khi đua, có phần infor của các player, có rank player- player titile",Task,Waiting For Approve,Phuoc Ho Duc,Normal,Game Design,3.0,"",Giang Duong Vo Tra,"","","","",VNRacing,"User story #218:     Tôi muốn trong khi đua,có phần infor của các player,có rank player - player title",""
473,UI_US342_Tôi muốn độ phần performance xe,Summary task,New,"",Normal,UI/UX,"","",Giang Duong Vo Tra,"","","","",VNRacing,Epic #315: UI,""
477,Các điểm để Customize bộ phận trên xe khi vào Customize Vissual không đúng hình thiết kế.,Bug,Tested,Duy LeHoang,Normal,"",2.0,"",Giang Duong Vo Tra,"","","","",VNRacing,User story #341: Visual Customize,""
478, Crash khi vào map,Bug,Tested,Doi Huynh Van,Normal,"",2.0,"",Giang Duong Vo Tra,"","",Crashing,"",VNRacing,Epic #382: Levels/Track,nguyên nhân là do không tìm thấy playerid trong TMap (null)
479,"Thay Mesh FrontBumper bị sai khi đổi giữa các Options 1, 2, 3",Bug,Tested,Dat Quang,Normal,"",1.0,"",Giang Duong Vo Tra,"","","Objects, Physics & Decors","",VNRacing,User story #341: Visual Customize,Bug Bản Build 2196 - OBJ77
481,Các điểm để Customize bộ phận trên xe khi vào Customize Visual không hoạt động.,Bug,Tested,Duy LeHoang,Normal,"",1.0,"",Giang Duong Vo Tra,"","",Feature & Functions Defects,"",VNRacing,User story #341: Visual Customize,Bug Build 2196
482,"Chức năng xoay Camera khi vuốt vào màn hình ở các Screen Home, Showroom và Customize ",Bug,Tested,Dat Quang,Normal,"",1.0,"",Giang Duong Vo Tra,"","",Feature & Functions Defects,"",VNRacing,User story #341: Visual Customize,\*Hiện không thể vuốt Camera khi điểm chạm đầu trùng với Mesh xe trên màn hình.
483,    Tôi muốn các màn chơi có độ khó phù hợp,User story,New,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Epic #382: Levels/Track,""
484,"    Trong khi chơi, tôi muốn có một số yếu tố ngẫu nhiên để làm cuộc đua thêm thú vị",User story,New,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,Epic #382: Levels/Track,""
485,"    Trong khi chơi, tôi muốn đâm một số chướng ngại vật ngẫu nhiên",User story,New,"",Normal,"","",6.0,Giang Duong Vo Tra,"","","","",VNRacing,Epic #382: Levels/Track,""
486,    Tôi muốn màn chơi phù hợp với các Race mode,User story,New,"",Normal,"","",21.5,Giang Duong Vo Tra,"","","","",VNRacing,Epic #382: Levels/Track,""
487,Tôi muốn có các đoạn Cutscene ngắn khi bắt đầu và kết thúc cuộc đua để Showcase cảnh đẹp mỗi khu vực và đội hình đua. ,User story,New,"",Normal,"","",104.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #156: Drive Mode,Asset Cinematic: https://docs.google.com/spreadsheets/d/1qEnf8xX4KAxx6VDb3zD04qaXBPDHHbPUbexqjnIG7nQ/edit?gid=1916069163#gid=1916069163
488,    Tôi muốn được chơi game với bạn bè của tôi thông qua kết bạn,User story,On hold,"",Normal,"","","",Giang Duong Vo Tra,"","","","",VNRacing,User story #221: Gamemode _MultiPlayer_Play Online,""
489,"    Tôi muốn các item nâng cấp phải thật sự đáng giá, hợp lý và đẹp",User story,Confirmed,"",Normal,"","",12.0,Giang Duong Vo Tra,"","","","",VNRacing,Feature #331: Shop&IAP,""
490,"Camera Customize SideBoard  chưa Focus vào đúng khu vực SideBoard, bị chặn bởi UI",Bug,Waiting For Approve,Phu Pham,Normal,"",8.0,"",Giang Duong Vo Tra,"","","","",VNRacing,User story #341: Visual Customize,Bug bản build 2916
491,UI_Car Customize_Key Sreen,Task,In progress,Ty Dang,Normal,UI/UX,"",11.5,Giang Duong Vo Tra,"","","","",VNRacing,Feature #340: Car Customize,http://repo.clickstudio.com.vn:9002/productions/4d82250d-8824-43ee-919f-aa24a00fa6da/episodes/c593c4c2-a014-4d8e-b64e-f74255a33ac9/shots/f5c6722f-f47f-4bd1-ace7-4be1d25cc938
