id,Subject,Type,Status,Assignee,Priority,Work,Total work,Version,Team,Story Points,Sprint,Project phase,Project,Position,Parent,Created on,Author,Accountable,Description
188,Lighting_Map Huế Đại Nội ,Summary task,In progress,Thống Trần Cao,Normal,"",56.0,"",Level,"","","",VNRacing,12,User story #170: Map Huế Đại Nội ,06/04/2026 03:10 PM,Giang Dương Võ Trà,"",""
189,Optimize_Map Huế Đại Nội ,Summary task,Scheduled,Thống Trần Cao,Normal,"",24.0,"",Level,"","","",VNRacing,13,User story #170: Map Huế Đại Nội ,06/04/2026 03:10 PM,Giang Dương Võ Trà,"",""
190,Map Quốc Học Huế,User story,In progress,"",Normal,"",326.0,"",Game Design,"","","",VNRacing,14,Feature #169: Huế City ,06/04/2026 03:13 PM,Giang Dương Võ Trà,"",""
191,Block Key Frame_Map Quốc Học Huế,Summary task,In progress,Nhật Võ Tấn,Normal,"",24.0,"",Level,"","","",VNRacing,15,User story #190: Map Quốc Học Huế,06/04/2026 03:32 PM,Giang Dương Võ Trà,"",""
192,Asset Assembly_Map Quốc Học Huế,Summary task,In specification,Nhật Võ Tấn,Normal,"","","",Level,"","","",VNRacing,16,User story #190: Map Quốc Học Huế,06/04/2026 03:32 PM,Giang Dương Võ Trà,"",""
193,Lighting_Map Quốc Học Huế,Summary task,In specification,Nhật Võ Tấn,Normal,"","","",Level,"","","",VNRacing,17,User story #190: Map Quốc Học Huế,06/04/2026 03:33 PM,Giang Dương Võ Trà,"",""
194,Optimize_Map Quốc học Huế ,Summary task,New,Nhật Võ Tấn,Normal,"","","",Level,"","","",VNRacing,18,User story #190: Map Quốc Học Huế,06/04/2026 03:34 PM,Giang Dương Võ Trà,"",""
195,Map Hồ Thuỷ Tiên,User story,In specification,"",Normal,"",222.0,"",Game Design,"","","",VNRacing,19,Feature #169: Huế City ,06/04/2026 03:35 PM,Giang Dương Võ Trà,"",""
196,Layout_Map Hồ Thuỷ Tiên,Summary task,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,20,User story #195: Map Hồ Thuỷ Tiên,06/04/2026 03:35 PM,Giang Dương Võ Trà,"",""
197,Asset Concept_Hồ Thuỷ Tiên,Summary task,In specification,Châu Nguyễn Ngọc Á,Normal,"",98.0,"",2D,"","","",VNRacing,21,User story #195: Map Hồ Thuỷ Tiên,06/04/2026 03:36 PM,Giang Dương Võ Trà,"",""
198,Asset Making_Hồ Thuỷ Tiên,Summary task,New,Nam Nguyễn Kỳ,Normal,"","","",3D ,"","","",VNRacing,22,User story #195: Map Hồ Thuỷ Tiên,06/04/2026 03:36 PM,Giang Dương Võ Trà,"",""
199,Asset Assembly_Map Hồ thuỷ Tiên,Summary task,New,"",Normal,"","","",Level,"","","",VNRacing,23,User story #195: Map Hồ Thuỷ Tiên,06/04/2026 03:37 PM,Giang Dương Võ Trà,"",""
200,Blockout Lighting and Shadow & Setup sẵn light bake_Map Huế Đại Nội ,Task,In progress,Thống Trần Cao,Normal,8.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,1,Summary task #188: Lighting_Map Huế Đại Nội ,06/04/2026 05:04 PM,Giang Dương Võ Trà,"",""
201,Bake Light_Track Huế Đại Nội Sprint,Task,Waiting for approve,Thống Trần Cao,Normal,16.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,2,Summary task #188: Lighting_Map Huế Đại Nội ,06/04/2026 05:05 PM,Giang Dương Võ Trà,"",""
202,Bake Light_Track Huế Đại Nội Circuit,Task,Waiting for approve,Thống Trần Cao,Normal,16.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,3,Summary task #188: Lighting_Map Huế Đại Nội ,06/04/2026 05:05 PM,Giang Dương Võ Trà,"",""
203,Bake Light_Track Huế Đại Nội Time Attack,Task,Waiting for approve,Thống Trần Cao,Normal,16.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,4,Summary task #188: Lighting_Map Huế Đại Nội ,06/04/2026 05:06 PM,Giang Dương Võ Trà,"",""
204,Optimize_Huế Đại Nội Sprint,Task,In progress,Thống Trần Cao,Normal,8.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,5,Summary task #189: Optimize_Map Huế Đại Nội ,06/04/2026 05:12 PM,Giang Dương Võ Trà,"",""
205,Optimize_Huế Đại Nội Circuit,Task,In progress,Thống Trần Cao,Normal,8.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,6,Summary task #189: Optimize_Map Huế Đại Nội ,06/04/2026 05:16 PM,Giang Dương Võ Trà,"",""
206,Optimize_Huế Đại Nội Time Attack,Task,New,Thống Trần Cao,Normal,8.0,"","",Level,"",Sprint 2 - Huế Đại Nội | Level Production ,"",VNRacing,7,Summary task #189: Optimize_Map Huế Đại Nội ,06/04/2026 05:16 PM,Giang Dương Võ Trà,"",""
207,Asset Making_Quốc Học Huế,Summary task,In specification,Nam Nguyễn Kỳ,Normal,"",244.0,"",Level,"","","",VNRacing,24,User story #190: Map Quốc Học Huế,06/04/2026 05:19 PM,Giang Dương Võ Trà,"",""
208,Block Key Frame_Quốc Học Huế_Sprint,Task,Waiting for approve,Nhật Võ Tấn,Normal,12.0,"","",Level,"","","",VNRacing,25,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/05/2026 08:23 AM,Giang Dương Võ Trà,"",""
209,Block Key Frame_Quốc Học Huế_Circuit,Task,Waiting for approve,Nhật Võ Tấn,Normal,6.0,"","",Level,"","","",VNRacing,26,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/05/2026 08:23 AM,Giang Dương Võ Trà,"",""
210,Block Key Frame_Quốc Học Huế_Time Attack,Task,Waiting for approve,Nhật Võ Tấn,Normal,6.0,"","",Level,"","","",VNRacing,27,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/05/2026 08:24 AM,Giang Dương Võ Trà,"",""
211,Block out Layout ,Summary task,In progress,"",Normal,"",24.0,"",Level,"","","",VNRacing,28,User story #195: Map Hồ Thuỷ Tiên,06/05/2026 08:34 AM,Giang Dương Võ Trà,"",""
215,Asset Making_Hero Asset,Task,In progress,Nam Nguyễn Kỳ,Normal,244.0,"","",3D ,"","","",VNRacing,32,Summary task #207: Asset Making_Quốc Học Huế,06/05/2026 10:35 AM,Giang Dương Võ Trà,"",""
217,Game Design_Drivemode Physic_Document ,Summary task,In specification,Phước Hồ Đức,Normal,"",4.0,"",Game Design,"","","",VNRacing,33,Feature #279: DriveMode - Physics,06/05/2026 04:00 PM,Giang Dương Võ Trà,"",https://docs.google.com/spreadsheets/d/1F04zRaPPfadn5GPnkxtgtsghfdFwTF-ekRsTRrKo1fM/edit?pli=1&amp;gid=0#gid=0
218,Tech Art_Hồ Thuỷ Tiên,Summary task,Specified,"",Normal,"",36.0,"",TechArt,"","","",VNRacing,34,User story #195: Map Hồ Thuỷ Tiên,06/05/2026 04:03 PM,Giang Dương Võ Trà,"",""
219,TA_Demo Level_ Mood overcast trời âm u có sương mù,Task,In progress,Phú Phạm Tấn,Normal,8.0,"","",TechArt,"","","",VNRacing,35,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/05/2026 04:04 PM,Giang Dương Võ Trà,"",&nbsp;Tạo level và bake light theo mood
220,TA_Đàn quạ bay trên bầu trời ,Task,In progress,Phú Phạm Tấn,Normal,8.0,"","",TechArt,"","","",VNRacing,36,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/05/2026 04:05 PM,Giang Dương Võ Trà,"",""
221,TA_Tạo đường bùn lầy,Task,Waiting for approve,Đông Huỳnh,Normal,12.0,"","",TechArt,"","","",VNRacing,37,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/05/2026 04:06 PM,Giang Dương Võ Trà,"",""
222,TA_Eye tracking_Rồng & Mascot,Task,In progress,Đông Huỳnh,Normal,8.0,"","",TechArt,"","","",VNRacing,38,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/05/2026 04:07 PM,Giang Dương Võ Trà,"","*   mắt của con rồng tracking theo xe, có đèn spotlight dọi theo xe/ - - mắt của mấy con mascot tracking theo xe"
223,Start_Level Prodcuction,Milestone,New,"",Normal,"","","","","","","",VNRacing,39,User story #170: Map Huế Đại Nội ,06/05/2026 04:49 PM,Giang Dương Võ Trà,"",""
224,Demo 3 Track Huế Đại Nội ,Milestone,New,"",Normal,"","","","","","","",VNRacing,40,User story #170: Map Huế Đại Nội ,06/05/2026 04:50 PM,Giang Dương Võ Trà,"",""
226,"Dev Implement US 225_Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",Summary task,Specified,Long Trần Anh Thượng,Normal,"",28.0,"",Dev,"","","",VNRacing,42,"User story #225: Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",06/08/2026 09:22 AM,Giang Dương Võ Trà,"",""
230,"Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",User story,On hold,Phước Hồ Đức,Normal,"",36.0,"",Game Design,"","","",VNRacing,45,Feature #345: Reward,06/08/2026 10:14 AM,Giang Dương Võ Trà,"",""
231,"Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",Summary task,On hold,Long Trần Anh Thượng,Normal,6.0,36.0,"",Dev,"","","",VNRacing,46,"User story #230: Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/08/2026 10:15 AM,Giang Dương Võ Trà,"",""
234, Các Rewards Item được rút ra theo đúng công thức trong tài liệu Reward Item.,Task,On hold,Đời Huỳnh Văn,Normal,6.0,"","",Dev,"","","",VNRacing,49,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/08/2026 10:16 AM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
235,Đền bù bằng Cash giá trị tương đương khi rút ra được phần thưởng Visual trùng lặp.,Task,On hold,Đời Huỳnh Văn,Normal,6.0,"","",Dev,"","","",VNRacing,50,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/08/2026 10:17 AM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
236, Trong Debug có nút để thêm Item dạng LootCrate vào thùng đồ của người chơi.,Task,On hold,Đời Huỳnh Văn,Normal,6.0,"","",Dev,"","","",VNRacing,51,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/08/2026 10:17 AM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
241,FX_Hồ Thuỷ Tiên,Summary task,In specification,Hoàng Trần Văn Huy,Normal,"",40.0,"",FX,"","","",VNRacing,52,User story #195: Map Hồ Thuỷ Tiên,06/08/2026 02:35 PM,Giang Dương Võ Trà,"",""
242,FX_Đường bùn lầy_Bùn lầy văng lên camera,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,24.0,"","",FX,"","","",VNRacing,53,Summary task #241: FX_Hồ Thuỷ Tiên,06/08/2026 02:36 PM,Giang Dương Võ Trà,"",""
243,FX_Đường bùn lầy_Hiệu ứng với bánh xe,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,16.0,"","",FX,"","","",VNRacing,54,Summary task #241: FX_Hồ Thuỷ Tiên,06/08/2026 02:48 PM,Giang Dương Võ Trà,"",""
250,CDN,Feature,In progress,Sơn Nguyễn Nam,Normal,"",68.0,"",Dev,"","","",VNRacing,55,"",06/10/2026 09:55 AM,Giang Dương Võ Trà,"","<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/212/content"">"
251,"Chia nhỏ project, build chunk và upload chunks lên server AWS",Task,In progress,Sơn Nguyễn Nam,Normal,12.0,"","",Dev,"","","",VNRacing,56,Summary task #256: Test tải số lượng 500 lượt,06/10/2026 10:04 AM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
254,Viết tài liệu hướng dẫn,Task,On hold,Sơn Nguyễn Nam,Normal,4.0,"","",Dev,"","","",VNRacing,59,Summary task #256: Test tải số lượng 500 lượt,06/10/2026 10:05 AM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
256,Test tải số lượng 500 lượt,Summary task,Specified,Long Trần Anh Thượng,Normal,"",28.0,"",Dev,"","","",VNRacing,60,User story #445: Hoàn thành lõi CDN cho project racing,06/10/2026 10:12 AM,Giang Dương Võ Trà,"",""
260,"Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City để tối ưu hóa thời gian chơi cũng như tối đa hóa sử dụng số lượng Asset đã sản xuất",User story,In progress,Phước Hồ Đức,Normal,"",20.0,"",Game Design,"","","",VNRacing,61,Sub Feature #342: Track Selection,06/10/2026 10:31 AM,Giang Dương Võ Trà,"","\- Kích hoạt cơ chế First Race + First Win mỗi khi người chơi đua/thắng một cuộc đua mới.  
\- Scale tự động phần thưởng của FirstRace + First Win theo Progression của City hiện tại."
261,"Là QA, tôi muốn có khả năng Reload lại Goals của các City, thay đổi Progress của các Goals và kích hoạt hoàn thành trao thưởng cho các Goals đó để thuận tiện cho việc kiểm tra tính khả thi và hấp dẫn của các Goals trong từng City.",User story,In progress,Phước Hồ Đức,Normal,"",8.0,"",Game Design,"","","",VNRacing,62,Sub Feature #331: Goals Unlock,06/10/2026 10:32 AM,Giang Dương Võ Trà,"","\- Bảng Debug cho phép Reload &amp; Reset các Goals hiện tại của City.  
\- Bảng Debug cho phép điều chỉnh Progress của các Goals hiện tại của City.  
\- Bảng Debug cho phép kích hoạt hoàn thành và trao thưởng cho các Goals hiện tại của các City."
262,"Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression để cảm nhận rõ hơn quá trình Progression.",User story,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,63,Feature #344: Car-Progression,06/10/2026 10:33 AM,Giang Dương Võ Trà,"","\- Lập danh sách và đưa vào Game các Dummy Car cho 4 City còn lại. (12 xe)  
\- Map sẵn mốc CR khởi đầu cho các Dummy Car."
263,"Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",User story,In specification,Phước Hồ Đức,Normal,"","","",Game Design,"","","",VNRacing,64,Epic #183: VNTour ,06/10/2026 10:34 AM,Giang Dương Võ Trà,"","\- Achievement sử dụng một Pool nhiệm vụ riêng biệt, dựa trên mốc tiến trình cá nhân của người chơi, khác biệt với các nhiệm vụ CityGoals hay Daily Challenges  
\- Achievement bao gồm các nhiệm vụ có thể hoàn thành được khi chơi đơn và các nhiệm vụ chỉ có thể hoàn thành khi chơi mạng.  
\- Achievement có phần thưởng dược quy định sẵn, không Scale hay thay đổi theo mốc Progression của người chơi.  
\- Có Screen Achivement riêng để người chơi theo dõi danh sách mục tiêu và nhận thưởng.  
\- Debug bổ sung chức năng hoàn thành nhanh các mốc Achievements để kiểm tra."
264,Concept Asset_Quốc Học Huế,Summary task,In progress,Châu Nguyễn Ngọc Á,Normal,"",34.0,"",2D,"","","",VNRacing,65,User story #190: Map Quốc Học Huế,06/10/2026 11:41 AM,Giang Dương Võ Trà,"",""
265,Concept 7 Keyframe_Finalize,Task,New,Châu Nguyễn Ngọc Á,Normal,26.0,"","",2D,"","","",VNRacing,66,Summary task #264: Concept Asset_Quốc Học Huế,06/10/2026 11:42 AM,Giang Dương Võ Trà,"",""
266,Breakdown Asset List & VFX List_Quốc Học Huế,Task,New,Châu Nguyễn Ngọc Á,Normal,8.0,"","",2D,"","","",VNRacing,67,Summary task #264: Concept Asset_Quốc Học Huế,06/10/2026 11:43 AM,Giang Dương Võ Trà,"",""
267,Game Design_Document_Achievement,Summary task,New,"",Normal,"","","",Game Design,"","","",VNRacing,68,"User story #263: Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",06/10/2026 01:49 PM,Giang Dương Võ Trà,"",""
268,"Dev_Implement_US263_ Achievement sử dụng một Pool nhiệm vụ riêng biệt, dựa trên mốc tiến trình cá nhân của người chơi",Summary task,In specification,Long Trần Anh Thượng,Normal,"","","",Dev,"","","",VNRacing,69,"User story #263: Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",06/10/2026 01:50 PM,Giang Dương Võ Trà,"",""
269,"Dev_Implement_US262_Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression ",Summary task,In specification,Long Trần Anh Thượng,Normal,"","","",Dev,"","","",VNRacing,70,"User story #262: Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression để cảm nhận rõ hơn quá trình Progression.",06/10/2026 01:52 PM,Giang Dương Võ Trà,"",""
270,"Dev_Implement_US261_Là QA, tôi muốn có khả năng Reload lại Goals của các City,",Summary task,Developed,Long Trần Anh Thượng,Normal,"",6.0,"",Dev,"","","",VNRacing,71,"User story #261: Là QA, tôi muốn có khả năng Reload lại Goals của các City, thay đổi Progress của các Goals và kích hoạt hoàn thành trao thưởng cho các Goals đó để thuận tiện cho việc kiểm tra tính khả thi và hấp dẫn của các Goals trong từng City.",06/10/2026 01:53 PM,Giang Dương Võ Trà,"",""
271,"Dev_Implement_260_Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City",Summary task,Developed,Long Trần Anh Thượng,Normal,"",20.0,"",Dev,"","","",VNRacing,72,"User story #260: Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City để tối ưu hóa thời gian chơi cũng như tối đa hóa sử dụng số lượng Asset đã sản xuất",06/10/2026 01:54 PM,Giang Dương Võ Trà,"",""
272,GAME MODE,Epic,New,"",Normal,"",142.0,"",Game Design,"","","",VNRacing,73,"",06/10/2026 02:13 PM,Giang Dương Võ Trà,"",""
273,MULTIPLAYER,Feature,In specification,"",Normal,"",94.0,"",Game Design,"","","",VNRacing,74,Epic #272: GAME MODE,06/10/2026 02:14 PM,Giang Dương Võ Trà,"",""
274,DAILY CHALLENGE,Feature,In specification,"",Normal,"",48.0,"",Game Design,"","","",VNRacing,75,Epic #272: GAME MODE,06/10/2026 02:14 PM,Giang Dương Võ Trà,"",""
275,Dev_Implement _Multi Player,Summary task,In specification,Long Trần Anh Thượng,Normal,"",78.0,"",Dev,"","","",VNRacing,76,User story #439: Là người chơi tôi muốn được ghép trận đua với người chơi khác và có khả năng cancel giữa chừng trước khi vào trận ,06/10/2026 02:16 PM,Giang Dương Võ Trà,"",""
276,Implement giao diện UI_Multiplayer theo thiết kế,Task,On hold,Khan Vương Huỳnh,Normal,30.0,"","",Dev,"","","",VNRacing,77,Summary task #275: Dev_Implement _Multi Player,06/10/2026 02:22 PM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
277,Implement_Anim_FX_UI_Multiplayer,Task,New,Khan Vương Huỳnh,Normal,8.0,"","",Dev,"","","",VNRacing,78,Summary task #275: Dev_Implement _Multi Player,06/10/2026 02:23 PM,Giang Dương Võ Trà,Long Trần Anh Thượng,""
278,Dev_Implement_Collision Debug,Summary task,Specified,Long Trần Anh Thượng,Normal,"",34.0,"",Dev,"","","",VNRacing,79,"User story #284: Là người chơi, tôi muốn cảm giác va chạm mang tính Arcade để giữ nhịp độ cuộc đua ổn định, xe không bị lật và nhanh chóng quay lại đường đua sau khi tông vào tường hoặc vật thể",06/10/2026 02:32 PM,Giang Dương Võ Trà,"","[(9+) CollisionTest\_Brief\_V1\_20260506 | Notion](https://app.notion.com/p/sss-click/CollisionTest_Brief_V1_20260506-376d1a0054d28030b7d9db62e86b7790)

<figure class=""table op-uc-figure_align-center op-uc-figure""><table class=""op-uc-table"" style=""border-style:none;""><tbody><tr class=""op-uc-table--row""><td class=""op-uc-table--cell"" style=""border-color:#000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Build level test DriveMode - Debug Collision</p></td><td class=""op-uc-table--cell"" style=""border-bottom:1px solid #000000;border-right:1px solid #000000;border-top:1px solid #000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Xây dựng level test collision theo mô tả trong tài liệu</p></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-table--cell"" style=""border-bottom:1px solid #000000;border-left:1px solid #000000;border-right:1px solid #000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Tạo UI overlay cho Debug Collision&nbsp;</p></td><td class=""op-uc-table--cell"" style=""border-bottom:1px solid #000000;border-right:1px solid #000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Thêm các nút trong module Debug Overlay và Test Map<br>Tạo và cập nhật logic UI cho Debug Collision Overlay<br><br data-cke-filler=""true""></p></td></tr><tr class=""op-uc-table--row""><td class=""op-uc-table--cell"" style=""border-bottom:1px solid #000000;border-left:1px solid #000000;border-right:1px solid #000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Cài đặt logic các kịch bản va chạm với xe AI</p></td><td class=""op-uc-table--cell"" style=""border-bottom:1px solid #000000;border-right:1px solid #000000;padding:0px 3px;vertical-align:top;""><p class=""op-uc-p"">Triển khai các actor test Collision với môi trường<br>Triển khai các chức năng hỗ trợ xe AI va chạm người chơi</p></td></tr></tbody></table></figure>"
279,DriveMode - Physics,Feature,New,"",Normal,"",54.0,"",Game Design,"","","",VNRacing,80,Epic #151: Drive Mode,06/10/2026 02:38 PM,Giang Dương Võ Trà,"",""
280,"Là QA, tôi muốn xem bảng tóm tắt thông số người chơi (City, Playtime, Races, Cars, Items) cập nhật liên tục để kiểm tra tính chính xác của dữ liệu và so sánh với các mục tiêu Design.",User story,Specified,Phước Hồ Đức,Normal,"",6.0,"",Game Design,"","","",VNRacing,81,Epic #183: VNTour ,06/10/2026 03:17 PM,Giang Dương Võ Trà,"",""
281,"Dev_Implement_US280_Là QA, tôi muốn xem bảng tóm tắt thông số người chơi (City, Playtime, Races, Cars, Items)",Summary task,Developed,Long Trần Anh Thượng,Normal,"",6.0,"",Dev,"","","",VNRacing,82,"User story #280: Là QA, tôi muốn xem bảng tóm tắt thông số người chơi (City, Playtime, Races, Cars, Items) cập nhật liên tục để kiểm tra tính chính xác của dữ liệu và so sánh với các mục tiêu Design.",06/10/2026 03:18 PM,Giang Dương Võ Trà,"",""
284,"Là người chơi, tôi muốn cảm giác va chạm mang tính Arcade để giữ nhịp độ cuộc đua ổn định, xe không bị lật và nhanh chóng quay lại đường đua sau khi tông vào tường hoặc vật thể",User story,Scheduled,Phước Hồ Đức,Normal,"",50.0,"",Game Design,"",User Story Submit ( 15/6-28/6/2026) ,"",VNRacing,4,Feature #279: DriveMode - Physics,06/10/2026 04:24 PM,Giang Dương Võ Trà,"","\- Thiết lập Map Test với các trường hợp va chạm sau: Front, FrontLeft/Right, SideLeft/Right, RearLeft/Right.  
\- Hệ thống phải ưu tiên giữ đà tiến (momentum) và điều hướng xe về phía Racing Line sau va chạm  
\- Phản hồi chính xác theo các vùng va chạm: Front, FrontLeft/Right, SideLeft/Right, RearLeft/Right.  
\- Tuyệt đối không để xe xảy ra tình trạng lật úp khi va chạm với các vật thể môi trường cố định."
293,"Là người chơi, tôi muốn được trao thưởng Items mỗi khi hoàn thành một cuộc đua để tăng động lực hoàn thành các cuộc đua.",User story,In specification,Phước Hồ Đức,Normal,"",12.0,"",Game Design,"","","",VNRacing,86,Feature #345: Reward,06/11/2026 10:44 AM,Giang Dương Võ Trà,"","\- Kích hoạt trao thưởng Item Tokens theo vị thứ cho người chơi (Về nhất - 3 Tokens, nhì - 2 Tokens, ba - 1 Token)  
\- Kích hoạt UI trao thưởng ấn tượng mỗi khi trao thưởng Item về đích cho người chơi.  
\- Về thứ 4 trở đi không kích hoạt trao thưởng Item Tokens."
294,"Dev_Implement_US 293_Là người chơi, tôi muốn được trao thưởng Items mỗi khi hoàn thành một cuộc đua để tăng động lực hoàn thành các cuộc đua.",Summary task,Specified,Long Trần Anh Thượng,Normal,"",12.0,"",Dev,"","","",VNRacing,87,"User story #293: Là người chơi, tôi muốn được trao thưởng Items mỗi khi hoàn thành một cuộc đua để tăng động lực hoàn thành các cuộc đua.",06/11/2026 10:45 AM,Giang Dương Võ Trà,"",""
