id,Subject,Type,Status,Assignee,Priority,Team,Accountable,Author,Category,Start date,Spent time,Sprint,Story Points,Remaining work,Total remaining work,Project phase,Project,Parent,Finish date,Description
186,"Bảng Debug hiện các thông tin về Scale Index hiện tại, cho phép chỉnh sửa và Reset về mặc định Scale Index.",Task,Waiting for approve,Khan Vương Huỳnh,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/08/2026,12.2,"","",0.0,"","",VNRacing,"Summary task #185: Dev_Implement_Là QA, tôi muốn kiểm tra các thông tin liên quan tới trao thưởng Cash cho người chơi thông qua đua để đối chiếu ngược với các giả thuyết của GD về Progression của người chơi.",06/10/2026,""
187,Asset Assembly_Map Huế Đại Nội ,Summary task,Waiting for approve,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/03/2026,0.0,"","",0.0,"","",VNRacing,User story #170: Map Huế Đại Nội ,06/09/2026,""
188,Lighting_Map Huế Đại Nội ,Summary task,In progress,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/09/2026,0.0,"","","",56.0,"",VNRacing,User story #170: Map Huế Đại Nội ,06/17/2026,""
189,Optimize_Map Huế Đại Nội ,Summary task,Scheduled,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/18/2026,0.0,"","","",24.0,"",VNRacing,User story #170: Map Huế Đại Nội ,06/22/2026,""
190,Map Quốc Học Huế,User story,In progress,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/05/2026,22.0,"","","",278.0,"",VNRacing,Feature #169: Huế City ,06/24/2026,""
191,Block Key Frame_Map Quốc Học Huế,Summary task,In progress,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/05/2026,22.0,"","","",0.0,"",VNRacing,User story #190: Map Quốc Học Huế,06/09/2026,""
192,Asset Assembly_Map Quốc Học Huế,Summary task,In specification,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/22/2026,0.0,"","","","","",VNRacing,User story #190: Map Quốc Học Huế,"",""
193,Lighting_Map Quốc Học Huế,Summary task,In specification,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/23/2026,0.0,"","","","","",VNRacing,User story #190: Map Quốc Học Huế,"",""
194,Optimize_Map Quốc học Huế ,Summary task,New,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/24/2026,0.0,"","","","","",VNRacing,User story #190: Map Quốc Học Huế,"",""
195,Map Hồ Thuỷ Tiên,User story,In specification,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/04/2026,72.0,"","","",43.2,"",VNRacing,Feature #169: Huế City ,06/12/2026,""
196,Layout_Map Hồ Thuỷ Tiên,Summary task,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/04/2026,0.0,"","","","","",VNRacing,User story #195: Map Hồ Thuỷ Tiên,"",""
197,Asset Concept_Hồ Thuỷ Tiên,Summary task,In specification,Châu Nguyễn Ngọc Á,Normal,2D,"",Giang Dương Võ Trà,"",06/04/2026,0.0,"","","","","",VNRacing,User story #195: Map Hồ Thuỷ Tiên,"",""
198,Asset Making_Hồ Thuỷ Tiên,Summary task,New,Nam Nguyễn Kỳ,Normal,3D ,"",Giang Dương Võ Trà,"",06/04/2026,0.0,"","","","","",VNRacing,User story #195: Map Hồ Thuỷ Tiên,"",""
199,Asset Assembly_Map Hồ thuỷ Tiên,Summary task,New,"",Normal,Level,"",Giang Dương Võ Trà,"",06/04/2026,0.0,"","","","","",VNRacing,User story #195: Map Hồ Thuỷ Tiên,"",""
200,Blockout Lighting and Shadow & Setup sẵn light bake_Map Huế Đại Nội ,Task,In progress,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/09/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",8.0,"","",VNRacing,Summary task #188: Lighting_Map Huế Đại Nội ,06/10/2026,""
201,Bake Light_Track Huế Đại Nội Sprint,Task,In progress,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/11/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",16.0,"","",VNRacing,Summary task #188: Lighting_Map Huế Đại Nội ,06/12/2026,""
202,Bake Light_Track Huế Đại Nội Circuit,Task,New,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/13/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",16.0,"","",VNRacing,Summary task #188: Lighting_Map Huế Đại Nội ,06/15/2026,""
203,Bake Light_Track Huế Đại Nội Time Attack,Task,New,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/16/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",16.0,"","",VNRacing,Summary task #188: Lighting_Map Huế Đại Nội ,06/17/2026,""
204,Optimize_Huế Đại Nội Sprint,Task,New,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/18/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",8.0,"","",VNRacing,Summary task #189: Optimize_Map Huế Đại Nội ,06/18/2026,""
205,Optimize_Huế Đại Nội Circuit,Task,New,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/19/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",8.0,"","",VNRacing,Summary task #189: Optimize_Map Huế Đại Nội ,06/19/2026,""
206,Optimize_Huế Đại Nội Time Attack,Task,New,Thống Trần Cao,Normal,Level,"",Giang Dương Võ Trà,"",06/20/2026,0.0,Sprint 2 - Huế Đại Nội | Level Production ,"",8.0,"","",VNRacing,Summary task #189: Optimize_Map Huế Đại Nội ,06/22/2026,""
207,Asset Making_Quốc Học Huế,Summary task,In specification,Nam Nguyễn Kỳ,Normal,Level,"",Giang Dương Võ Trà,"",06/05/2026,0.0,"","","",244.0,"",VNRacing,User story #190: Map Quốc Học Huế,06/20/2026,""
208,Block Key Frame_Quốc Học Huế_Sprint,Task,Waiting for approve,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/05/2026,11.0,"","",0.0,"","",VNRacing,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/06/2026,""
209,Block Key Frame_Quốc Học Huế_Circuit,Task,Waiting for approve,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/08/2026,6.0,"","",0.0,"","",VNRacing,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/08/2026,""
210,Block Key Frame_Quốc Học Huế_Time Attack,Task,Waiting for approve,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/08/2026,5.0,"","",0.0,"","",VNRacing,Summary task #191: Block Key Frame_Map Quốc Học Huế,06/09/2026,""
211,Block out Layout ,Summary task,In progress,"",Normal,Level,"",Giang Dương Võ Trà,"",06/09/2026,24.0,"","","",0.0,"",VNRacing,User story #195: Map Hồ Thuỷ Tiên,06/12/2026,""
212,Block out_Layout_Hồ Thuỷ Tiên_Sprint,Task,In progress,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/10/2026,8.0,"","",0.0,"","",VNRacing,Summary task #211: Block out Layout ,06/11/2026,""
213,Block out _Layout_Hồ Thuỷ Tiên_Circuit,Task,Waiting for approve,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/11/2026,8.0,"","",0.0,"","",VNRacing,Summary task #211: Block out Layout ,06/12/2026,""
214,Block out _Layout_Hồ Thuỷ Tiên_Time Attack,Task,Waiting for approve,Nhật Võ Tấn,Normal,Level,"",Giang Dương Võ Trà,"",06/09/2026,8.0,"","",0.0,"","",VNRacing,Summary task #211: Block out Layout ,06/10/2026,""
215,Asset Making_Hero Asset,Task,In progress,Nam Nguyễn Kỳ,Normal,3D ,"",Giang Dương Võ Trà,"",06/05/2026,0.0,"","",244.0,"","",VNRacing,Summary task #207: Asset Making_Quốc Học Huế,06/16/2026,""
217,Game Design_Drivemode Physic_Document ,Summary task,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/15/2026,3.0,"","","",4.0,"",VNRacing,Feature #279: DriveMode - Physics,06/15/2026,https://docs.google.com/spreadsheets/d/1F04zRaPPfadn5GPnkxtgtsghfdFwTF-ekRsTRrKo1fM/edit?pli=1&amp;gid=0#gid=0
218,Tech Art_Hồ Thuỷ Tiên,Summary task,Specified,"",Normal,TechArt,"",Giang Dương Võ Trà,"",06/05/2026,20.0,"","","",3.2,"",VNRacing,User story #195: Map Hồ Thuỷ Tiên,06/10/2026,""
219,TA_Demo Level_ Mood overcast trời âm u có sương mù,Task,In progress,Phú Phạm Tấn,Normal,TechArt,"",Giang Dương Võ Trà,"",06/05/2026,0.0,"","",1.6,"","",VNRacing,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/06/2026,&nbsp;Tạo level và bake light theo mood
220,TA_Đàn quạ bay trên bầu trời ,Task,In progress,Phú Phạm Tấn,Normal,TechArt,"",Giang Dương Võ Trà,"",06/06/2026,0.0,"","",1.6,"","",VNRacing,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/08/2026,""
221,TA_Tạo đường bùn lầy,Task,Waiting for approve,Đông Huỳnh,Normal,TechArt,"",Giang Dương Võ Trà,"",06/08/2026,12.0,"","",0.0,"","",VNRacing,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/09/2026,""
222,TA_Eye tracking_Rồng & Mascot,Task,In progress,Đông Huỳnh,Normal,TechArt,"",Giang Dương Võ Trà,"",06/09/2026,8.0,"","",0.0,"","",VNRacing,Summary task #218: Tech Art_Hồ Thuỷ Tiên,06/10/2026,"*   mắt của con rồng tracking theo xe, có đèn spotlight dọi theo xe/ - - mắt của mấy con mascot tracking theo xe"
223,Start_Level Prodcuction,Milestone,New,"",Normal,"","",Giang Dương Võ Trà,"",06/02/2026,0.0,"","","","","",VNRacing,User story #170: Map Huế Đại Nội ,06/02/2026,""
224,Demo 3 Track Huế Đại Nội ,Milestone,New,"",Normal,"","",Giang Dương Võ Trà,"",06/23/2026,0.0,"","","","","",VNRacing,User story #170: Map Huế Đại Nội ,06/23/2026,""
226,"Dev Implement US 225_Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,28.0,"","","",0.0,"",VNRacing,"User story #225: Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",06/11/2026,""
227,Kích hoạt trao thưởng Cash tùy theo vị thứ đua.,Task,Waiting for approve,Đời Huỳnh Văn,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/08/2026,12.0,"","",0.0,"","",VNRacing,"Summary task #226: Dev Implement US 225_Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",06/09/2026,"<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/54/content""><img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/55/content"">"
228,Scale tự động phần thưởng theo Progression của City hiện tại theo công thức trong tài liệu Progression.,Task,Waiting for approve,Đời Huỳnh Văn,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/09/2026,16.0,"","",0.0,"","",VNRacing,"Summary task #226: Dev Implement US 225_Là người chơi, tôi muốn được trao thưởng Cash tùy theo thành tích cuộc đua của tôi để có động lực đạt được vị thứ cao hơn trong cuộc đua.",06/11/2026,"<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/98/content"">"
230,"Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",User story,Specified,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/09/2026,29.0,"","","",23.4,"",VNRacing,Feature #345: Reward,06/13/2026,""
231,"Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/09/2026,29.0,"","",6.0,23.4,"",VNRacing,"User story #230: Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/12/2026,""
232,"Có 3 loại LootCrate với số lượng Tokens trả về khác nhau: (Common - 1 Token, UnCommon - 2 Tokens, Rare - 3 Tokens)",Task,Waiting for approve,Thịnh Nguyễn Cửu Đức,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/09/2026,15.0,"","",0.0,"","",VNRacing,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/09/2026,""
233, Các Loot Crate thu thập được phải hiển thị trong Tab Loot Crates của Inventory với số lượng đang có.,Task,Waiting for approve,Thịnh Nguyễn Cửu Đức,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/09/2026,8.0,"","",0.0,"","",VNRacing,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/10/2026,""
234, Các Rewards Item được rút ra theo đúng công thức trong tài liệu Reward Item.,Task,In progress,Thịnh Nguyễn Cửu Đức,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/10/2026,6.0,"","",5.4,"","",VNRacing,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/11/2026,""
235,Đền bù bằng Cash giá trị tương đương khi rút ra được phần thưởng Visual trùng lặp.,Task,New,Thịnh Nguyễn Cửu Đức,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/11/2026,0.0,"","",6.0,"","",VNRacing,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/11/2026,""
236, Trong Debug có nút để thêm Item dạng LootCrate vào thùng đồ của người chơi.,Task,New,Thịnh Nguyễn Cửu Đức,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/11/2026,0.0,"","",6.0,"","",VNRacing,"Summary task #231: Dev_Implement_Là người chơi, tôi muốn có hệ thống mở hòm đồ ngẫu nhiên thu thập được trong quá trình chơi để tạo cảm giác kích thích khi tìm kiếm vật phẩm hiếm",06/12/2026,""
241,FX_Hồ Thuỷ Tiên,Summary task,In specification,Hoàng Trần Văn Huy,Normal,FX,"",Giang Dương Võ Trà,"",06/08/2026,28.0,"","","",40.0,"",VNRacing,User story #195: Map Hồ Thuỷ Tiên,06/12/2026,""
242,FX_Đường bùn lầy_Bùn lầy văng lên camera,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,FX,"",Giang Dương Võ Trà,"",06/10/2026,18.0,"","",24.0,"","",VNRacing,Summary task #241: FX_Hồ Thuỷ Tiên,06/12/2026,""
243,FX_Đường bùn lầy_Hiệu ứng với bánh xe,Task,Waiting for approve,Hoàng Trần Văn Huy,Normal,FX,"",Giang Dương Võ Trà,"",06/08/2026,10.0,"","",16.0,"","",VNRacing,Summary task #241: FX_Hồ Thuỷ Tiên,06/09/2026,""
250,CDN,Feature,In progress,Sơn Nguyễn Nam,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,24.0,"","","",10.0,"",VNRacing,"",06/11/2026,""
251,"Chia nhỏ project, build chunk và upload chunks lên server AWS",Task,In progress,Sơn Nguyễn Nam,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/08/2026,12.0,"","",0.0,"","",VNRacing,Summary task #256: Test tải số lượng 500 lượt,06/15/2026,""
252,Cài đặt và chạy k6 trên server riêng,Task,Waiting for approve,Chánh Tông Nguyễn,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/08/2026,6.0,"","",6.0,"","",VNRacing,Summary task #256: Test tải số lượng 500 lượt,06/08/2026,""
254,Viết tài liệu hướng dẫn,Task,On hold,Sơn Nguyễn Nam,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/10/2026,0.0,"","",4.0,"","",VNRacing,Summary task #256: Test tải số lượng 500 lượt,06/10/2026,""
256,Test tải số lượng 500 lượt,Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,24.0,"","","",10.0,"",VNRacing,Feature #250: CDN,06/15/2026,""
260,"Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City để tối ưu hóa thời gian chơi cũng như tối đa hóa sử dụng số lượng Asset đã sản xuất",User story,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,Sub Feature #342: Track Selection,06/12/2026,"\- Kích hoạt cơ chế First Race + First Win mỗi khi người chơi đua/thắng một cuộc đua mới.  
\- Scale tự động phần thưởng của FirstRace + First Win theo Progression của City hiện tại."
261,"Là QA, tôi muốn có khả năng Reload lại Goals của các City, thay đổi Progress của các Goals và kích hoạt hoàn thành trao thưởng cho các Goals đó để thuận tiện cho việc kiểm tra tính khả thi và hấp dẫn của các Goals trong từng City.",User story,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/08/2026,4.98,"","","",0.0,"",VNRacing,Sub Feature #333: Goals Config,06/12/2026,"\- Bảng Debug cho phép Reload &amp; Reset các Goals hiện tại của City.  
\- Bảng Debug cho phép điều chỉnh Progress của các Goals hiện tại của City.  
\- Bảng Debug cho phép kích hoạt hoàn thành và trao thưởng cho các Goals hiện tại của các City."
262,"Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression để cảm nhận rõ hơn quá trình Progression.",User story,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,Feature #344: Car-Progression,06/12/2026,"\- Lập danh sách và đưa vào Game các Dummy Car cho 4 City còn lại. (12 xe)  
\- Map sẵn mốc CR khởi đầu cho các Dummy Car."
263,"Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",User story,In specification,Phước Hồ Đức,Normal,Game Design,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,Epic #183: VNTour ,06/12/2026,"\- Achievement sử dụng một Pool nhiệm vụ riêng biệt, dựa trên mốc tiến trình cá nhân của người chơi, khác biệt với các nhiệm vụ CityGoals hay Daily Challenges  
\- Achievement bao gồm các nhiệm vụ có thể hoàn thành được khi chơi đơn và các nhiệm vụ chỉ có thể hoàn thành khi chơi mạng.  
\- Achievement có phần thưởng dược quy định sẵn, không Scale hay thay đổi theo mốc Progression của người chơi.  
\- Có Screen Achivement riêng để người chơi theo dõi danh sách mục tiêu và nhận thưởng.  
\- Debug bổ sung chức năng hoàn thành nhanh các mốc Achievements để kiểm tra."
264,Concept Asset_Quốc Học Huế,Summary task,In progress,Châu Nguyễn Ngọc Á,Normal,2D,"",Giang Dương Võ Trà,"",06/12/2026,0.0,"","","",34.0,"",VNRacing,User story #190: Map Quốc Học Huế,06/23/2026,""
265,Concept 7 Keyframe_Finalize,Task,New,Châu Nguyễn Ngọc Á,Normal,2D,"",Giang Dương Võ Trà,"",06/12/2026,0.0,"","",26.0,"","",VNRacing,Summary task #264: Concept Asset_Quốc Học Huế,06/15/2026,""
266,Breakdown Asset List & VFX List_Quốc Học Huế,Task,New,Châu Nguyễn Ngọc Á,Normal,2D,"",Giang Dương Võ Trà,"",06/22/2026,0.0,"","",8.0,"","",VNRacing,Summary task #264: Concept Asset_Quốc Học Huế,06/23/2026,""
267,Game Design_Document_Achievement,Summary task,New,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,"User story #263: Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",06/12/2026,""
268,"Dev_Implement_US263_ Achievement sử dụng một Pool nhiệm vụ riêng biệt, dựa trên mốc tiến trình cá nhân của người chơi",Summary task,In specification,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,"User story #263: Là người chơi, tôi muốn có hệ thống thành tựu với các mục tiêu dài hạn và phần thưởng giá trị để tăng động lực gắn bó lâu dài với game",06/12/2026,""
269,"Dev_Implement_US262_Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression ",Summary task,In specification,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,"User story #262: Là người chơi, tôi muốn các xe được trao thưởng ở mỗi City mới có điểm khởi đầu sức mạnh tăng dần theo chiều dài Progression để cảm nhận rõ hơn quá trình Progression.",06/12/2026,""
270,"Dev_Implement_US261_Là QA, tôi muốn có khả năng Reload lại Goals của các City,",Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/10/2026,4.98,"","","",0.0,"",VNRacing,"User story #261: Là QA, tôi muốn có khả năng Reload lại Goals của các City, thay đổi Progress của các Goals và kích hoạt hoàn thành trao thưởng cho các Goals đó để thuận tiện cho việc kiểm tra tính khả thi và hấp dẫn của các Goals trong từng City.",06/12/2026,""
271,"Dev_Implement_260_Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City",Summary task,In specification,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/08/2026,0.0,"","","","","",VNRacing,"User story #260: Là GD, tôi muốn tạo động lực cho người chơi tìm kiếm các cuộc đua mới trong một City để tối ưu hóa thời gian chơi cũng như tối đa hóa sử dụng số lượng Asset đã sản xuất",06/12/2026,""
272,GAME MODE,Epic,New,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/02/2026,4.5,"","","",40.9,"",VNRacing,"",06/23/2026,""
273,MULTIPLAYER,Feature,New,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/10/2026,4.5,"","","",40.9,"",VNRacing,Epic #272: GAME MODE,06/17/2026,""
274,DAILY CHALLENGE,Feature,New,"",Normal,Game Design,"",Giang Dương Võ Trà,"",06/02/2026,0.0,"","","","","",VNRacing,Epic #272: GAME MODE,06/23/2026,""
275,Implement UI_Multi Player,Summary task,Specified,Long Trần Anh Thượng,Normal,Dev,"",Giang Dương Võ Trà,"",06/10/2026,4.5,"","","",40.9,"",VNRacing,Feature #273: MULTIPLAYER,06/17/2026,"<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/84/content"">"
276,Implement giao diện UI_Multiplayer theo thiết kế,Task,On hold,Như Trương,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/10/2026,4.5,"","",24.9,"","",VNRacing,Summary task #275: Implement UI_Multi Player,06/15/2026,""
277,Implement_Anim_FX_UI_Multiplayer,Task,New,Như Trương,Normal,Dev,Long Trần Anh Thượng,Giang Dương Võ Trà,"",06/15/2026,0.0,"","",16.0,"","",VNRacing,Summary task #275: Implement UI_Multi Player,06/17/2026,""
